Reference,Gene,Peptide,Measurement,Culture_Protein,25%,75%,Culture_mRNA ,s.e.m.,Sorted_Progenitor_mRNA,Sorted_Neutrophil_mRNA,neut_dev_mRNA,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_146131,Pbxip1,5,6,0.162 ,0.152 ,0.254 ,0.249 ,0.096 ,-0.241 ,0.015 ,2.672 ,0,0,0,0,0,0,0,0,0
NM_026774,Hbxip,-,-,-,-,-,0.134 ,0.060 ,0.100 ,0.091 ,-0.147 ,0,0,0,0,0,0,0,0,0
NM_001012306,Hsd3b3,-,-,-,-,-,0.103 ,0.037 ,-0.039 ,0.012 ,0.182 ,0,0,0,0,0,1,0,0,0
NM_027135,Sec24d,11,26,0.198 ,0.120 ,0.350 ,-0.192 ,0.102 ,-0.051 ,-0.199 ,-2.084 ,0,0,0,0,0,0,0,0,0
NM_026945,Adh6a,-,-,-,-,-,0.034 ,0.097 ,0.194 ,0.007 ,-0.235 ,0,0,0,0,0,0,0,0,0
NM_009520,Wnt2b,-,-,-,-,-,-0.095 ,0.179 ,0.045 ,0.209 ,0.355 ,0,0,0,0,0,0,0,0,1
NM_017474,Clca3,-,-,-,-,-,-0.060 ,0.051 ,-0.221 ,-0.168 ,0.092 ,0,0,0,0,0,0,0,0,0
NM_009740,Bcl10,2,2,0.014 ,-0.033 ,0.061 ,-0.037 ,0.061 ,0.080 ,0.124 ,1.492 ,1,0,0,0,0,0,0,0,0
NM_183423,Pla2g12a,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_173763,Ccbl2,5,8,0.301 ,0.007 ,0.352 ,0.131 ,0.132 ,0.244 ,-0.102 ,-2.662 ,0,0,0,1,0,0,0,0,0
NM_016899,Rab25,1,4,0.180 ,0.178 ,0.185 ,0.116 ,0.157 ,0.210 ,-0.042 ,0.028 ,0,0,0,0,0,0,0,0,0
NM_016701,Nes,-,-,-,-,-,0.078 ,0.016 ,0.067 ,-0.003 ,0.632 ,0,0,0,0,0,0,0,0,0
NM_007686,Cfi,-,-,-,-,-,-0.154 ,0.110 ,-0.015 ,-0.080 ,0.259 ,0,0,0,0,0,0,0,0,0
NM_172681,D930015e06rik,-,-,-,-,-,-0.037 ,0.009 ,-0.103 ,-0.109 ,0.792 ,0,0,0,1,0,0,0,0,0
NM_029144,4930503b20rik,-,-,-,-,-,0.062 ,0.063 ,0.000 ,-0.059 ,-0.027 ,0,0,0,0,0,0,0,0,0
NM_153385,Clrn1,-,-,-,-,-,0.067 ,0.060 ,0.002 ,-0.172 ,-0.021 ,1,0,0,0,0,0,0,0,0
NM_001024841,Gm128,-,-,-,-,-,-0.243 ,0.078 ,0.256 ,-0.388 ,-0.935 ,0,0,0,0,0,0,0,0,0
NM_026335,Lce1h,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_021343,Spata5,1,24,0.027 ,-0.055 ,0.046 ,-0.039 ,0.099 ,0.240 ,-0.265 ,-1.163 ,0,0,0,1,1,0,0,0,0
NM_020026,B3galnt1,-,-,-,-,-,0.019 ,0.079 ,0.181 ,-0.222 ,-0.404 ,0,0,0,0,0,0,0,0,0
NM_001081137,2010204n08rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001076679,Loc751864,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_011196,Ptger3,-,-,-,-,-,0.378 ,0.172 ,0.354 ,0.693 ,-2.707 ,0,0,0,0,0,0,0,0,0
NM_026225,Cog6,5,10,-0.056 ,-0.227 ,0.018 ,0.079 ,0.004 ,0.061 ,0.067 ,0.110 ,0,0,0,0,0,1,0,0,0
NM_017397,Ddx20,-,-,-,-,-,-0.145 ,0.046 ,0.122 ,-0.061 ,-1.507 ,0,0,0,0,0,1,0,0,0
NM_013604,Mtx1,-,-,-,-,-,-0.038 ,0.011 ,0.124 ,0.036 ,-1.590 ,0,0,0,0,0,0,0,0,0
NM_027770,Col24a1,-,-,-,-,-,0.062 ,0.009 ,-0.154 ,-0.019 ,0.121 ,0,0,0,0,0,1,0,0,0
NM_021782,Il21,-,-,-,-,-,0.228 ,0.383 ,-0.085 ,0.072 ,0.431 ,0,0,1,0,0,0,0,0,0
NM_178772,Aadacl1,7,14,-0.130 ,-0.142 ,0.023 ,-0.106 ,0.069 ,-0.087 ,0.058 ,0.960 ,0,0,0,0,0,0,0,0,0
NM_001111052,Dclk1,-,-,-,-,-,-0.012 ,0.118 ,0.084 ,0.197 ,0.215 ,0,0,0,0,0,0,0,0,0
NM_011516,Sycp1,-,-,-,-,-,0.077 ,0.040 ,0.040 ,0.116 ,0.374 ,0,0,0,0,0,0,0,0,0
NM_001018031,Gm414,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_029974,Dcst1,-,-,-,-,-,0.048 ,0.267 ,0.119 ,-0.026 ,0.138 ,0,0,0,0,0,0,0,0,0
NM_025555,2410004b18rik,-,-,-,-,-,0.330 ,0.058 ,0.374 ,0.207 ,-0.004 ,1,0,0,0,0,0,0,0,0
NM_001081094,2410019a14rik,-,-,-,-,-,-0.176 ,0.053 ,0.206 ,0.156 ,-4.166 ,0,0,0,0,0,0,0,0,0
NM_029797,Mnd1,-,-,-,-,-,-0.906 ,0.351 ,-0.148 ,-0.459 ,-3.747 ,0,0,0,0,0,0,0,0,0
NM_019414,Selenbp2,2,8,-0.061 ,-0.140 ,0.070 ,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_021388,Extl2,-,-,-,-,-,-0.241 ,0.070 ,-0.102 ,-0.176 ,-0.395 ,0,1,0,0,0,0,0,0,0
NM_011351,Sema6c,-,-,-,-,-,-0.066 ,0.049 ,-0.108 ,-0.128 ,0.343 ,0,0,0,0,0,0,0,0,0
NM_026332,Dnajc19,-,-,-,-,-,0.036 ,0.020 ,0.206 ,0.200 ,-1.107 ,0,0,0,0,0,0,0,0,0
NM_001111143,Gm131,-,-,-,-,-,0.187 ,0.030 ,-0.106 ,0.217 ,0.255 ,0,0,0,0,0,0,0,0,0
NM_029068,Snx16,-,-,-,-,-,0.099 ,0.163 ,0.164 ,0.171 ,-1.545 ,0,0,0,0,0,0,0,0,0
NM_023502,Elf2,-,-,-,-,-,0.020 ,0.220 ,0.094 ,-0.204 ,-0.415 ,0,0,0,0,0,0,0,0,0
NM_010318,Gng5,4,14,-0.134 ,-0.853 ,-0.068 ,-0.043 ,0.056 ,0.209 ,0.101 ,0.356 ,0,0,0,0,0,0,0,0,0
NM_133859,Olfml3,-,-,-,-,-,-0.088 ,0.133 ,-0.206 ,0.293 ,0.841 ,0,0,0,0,0,0,0,0,0
NM_024461,1810037i17rik,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_023719,Txnip,-,-,-,-,-,-0.158 ,0.125 ,-0.394 ,0.125 ,1.748 ,0,0,0,0,0,0,0,0,0
NM_007900,Ect2,-,-,-,-,-,-0.093 ,0.054 ,0.069 ,-0.444 ,-1.128 ,0,1,0,0,0,0,0,0,0
NM_001033303,Ampd1,-,-,-,-,-,0.043 ,0.146 ,0.107 ,-0.068 ,0.055 ,0,0,0,0,0,0,0,0,0
NM_080793,Setd7,6,11,0.288 ,0.110 ,0.589 ,0.278 ,0.114 ,-0.052 ,0.196 ,0.129 ,0,0,0,0,0,0,0,0,0
NM_001037939,Bglap1,-,-,-,-,-,-0.020 ,0.041 ,0.055 ,-0.278 ,0.480 ,0,0,0,0,0,0,0,0,0
NM_023383,Aadac,-,-,-,-,-,0.106 ,0.117 ,0.011 ,-0.133 ,-0.023 ,0,0,0,0,1,0,0,0,0
NM_027315,Ube2q1,3,4,0.731 ,0.167 ,1.233 ,0.380 ,0.035 ,0.256 ,0.347 ,0.469 ,0,0,0,0,0,0,0,0,0
NM_007606,Car3,-,-,-,-,-,-0.069 ,0.025 ,-0.048 ,-0.121 ,0.194 ,0,0,0,0,0,0,0,0,0
NM_026328,Reg4,-,-,-,-,-,-0.013 ,0.106 ,0.233 ,0.284 ,0.303 ,0,0,0,0,0,0,0,0,0
NM_181409,Mtmr11,-,-,-,-,-,0.090 ,0.170 ,0.007 ,0.226 ,0.536 ,0,0,0,0,0,0,0,0,0
NM_008857,Prkci,-,-,-,-,-,-0.047 ,0.080 ,0.232 ,-0.340 ,-0.540 ,0,0,0,0,0,0,0,0,0
NM_008847,Pip5k1a,-,-,-,-,-,-0.024 ,0.015 ,-0.008 ,0.078 ,-0.018 ,0,0,0,0,0,0,0,0,0
NM_018734,Gbp3,-,-,-,-,-,-0.027 ,0.129 ,-0.113 ,0.056 ,-2.433 ,0,0,0,0,0,0,0,0,0
NM_145922,Kcnc4,-,-,-,-,-,0.125 ,0.038 ,0.321 ,-0.367 ,-0.101 ,0,0,0,0,0,0,0,0,0
NM_001013806,Ankrd13c,-,-,-,-,-,0.108 ,0.009 ,0.191 ,0.077 ,0.265 ,0,1,0,0,0,1,0,0,0
NM_001026212,Ensa,-,-,-,-,-,0.145 ,0.018 ,-0.115 ,0.017 ,0.892 ,0,0,0,0,0,0,0,0,0
NM_011996,Adh4,-,-,-,-,-,0.171 ,0.130 ,-0.157 ,-0.049 ,0.411 ,0,0,0,0,0,1,0,0,0
NM_133187,1110032e23rik,-,-,-,-,-,0.209 ,0.188 ,-0.056 ,0.039 ,0.024 ,0,1,0,0,0,1,0,0,0
NM_019464,Sh3glb1,4,10,0.053 ,-0.038 ,0.190 ,0.250 ,0.076 ,-0.205 ,0.057 ,1.576 ,0,0,0,0,0,0,0,0,0
NM_008939,Prss12,-,-,-,-,-,0.029 ,0.180 ,-0.136 ,-0.071 ,0.130 ,0,0,0,0,0,0,0,0,0
NM_007892,E2f5,-,-,-,-,-,-0.030 ,0.225 ,0.285 ,0.110 ,-1.543 ,0,0,0,0,0,0,0,0,0
NM_144895,Spg20,-,-,-,-,-,0.417 ,0.086 ,0.450 ,0.315 ,-1.623 ,0,0,0,0,0,0,0,0,0
NM_017381,Zranb2,-,-,-,-,-,-0.101 ,0.047 ,0.164 ,-0.031 ,-1.063 ,0,0,0,0,0,0,0,0,0
NM_001104592,Vmn2r2,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,0,0,0,0
NM_001104619,Vmn2r6,-,-,-,-,-,-,-,-,-,-,0,0,0,2,0,0,0,0,0
NM_181400,Wdr47,-,-,-,-,-,0.021 ,0.110 ,0.122 ,0.195 ,0.342 ,0,0,1,0,0,0,0,0,0
NM_133854,Snapin,2,3,0.198 ,-0.512 ,0.382 ,0.012 ,0.037 ,-0.232 ,-0.009 ,0.265 ,0,0,0,0,0,0,0,0,0
NM_016750,H2afz,-,-,-,-,-,-0.018 ,0.056 ,0.056 ,0.025 ,-0.246 ,0,0,0,0,0,0,0,0,0
NM_013629,Phtf1,-,-,-,-,-,0.107 ,0.064 ,0.182 ,0.172 ,-1.173 ,0,0,0,1,0,1,0,0,0
NM_001099332,Igsf2,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_017395,Rfx5,-,-,-,-,-,-0.404 ,0.147 ,-0.220 ,-0.130 ,-1.075 ,0,0,0,0,0,0,0,0,0
NM_144901,Csde1,20,74,-0.100 ,-0.230 ,-0.027 ,-0.018 ,0.051 ,-0.015 ,0.009 ,-0.190 ,0,0,0,0,1,0,0,0,0
NM_011693,Vcam1,5,13,-0.196 ,-0.624 ,-0.029 ,-0.714 ,0.259 ,-0.979 ,-0.276 ,-1.963 ,0,0,0,0,0,0,0,0,0
NM_011656,Tuft1,-,-,-,-,-,-0.124 ,0.100 ,-0.140 ,-0.181 ,-1.273 ,0,0,0,1,0,0,0,0,0
NM_018767,Cd160,-,-,-,-,-,0.124 ,0.063 ,0.077 ,-0.071 ,0.254 ,0,1,0,0,0,0,0,0,0
NM_025762,4933434e20rik,-,-,-,-,-,-0.201 ,0.042 ,0.124 ,-0.156 ,-0.789 ,0,0,0,0,0,0,0,0,0
NM_010186,Fcgr1,-,-,-,-,-,0.075 ,0.128 ,0.148 ,0.241 ,1.653 ,0,0,0,0,0,0,0,0,0
NM_175193,Golim4,4,8,-0.372 ,-0.631 ,-0.241 ,-0.309 ,0.061 ,-0.240 ,-0.167 ,1.107 ,0,0,0,0,0,0,0,0,0
NM_153091,St7l,-,-,-,-,-,0.128 ,0.064 ,0.087 ,0.062 ,-0.044 ,0,0,0,0,0,1,0,0,0
NM_133675,1110032a04rik,-,-,-,-,-,0.141 ,0.159 ,-0.007 ,0.244 ,0.197 ,0,0,0,0,0,0,0,0,0
NM_174995,Mgst2,2,3,-7.161 ,-7.246 ,-5.556 ,0.215 ,0.072 ,-0.595 ,0.020 ,0.462 ,0,0,0,0,0,0,0,0,0
NM_009718,Neurog2,-,-,-,-,-,0.100 ,0.027 ,0.147 ,0.111 ,0.024 ,0,0,0,0,0,0,0,0,1
NM_001098170,Pcdh10,-,-,-,-,-,0.006 ,0.097 ,0.144 ,0.084 ,0.368 ,0,0,0,0,0,0,0,0,0
NM_001033302,Gm129,-,-,-,-,-,-0.022 ,0.179 ,0.025 ,-0.138 ,-0.263 ,0,0,0,0,0,0,0,0,0
NM_011069,Pex11b,-,-,-,-,-,0.335 ,0.042 ,0.111 ,-0.057 ,-0.630 ,0,0,0,0,0,0,0,0,0
NM_057172,Fubp1,14,94,-0.085 ,-0.164 ,-0.031 ,-0.265 ,0.078 ,0.273 ,-0.528 ,-2.842 ,0,1,0,0,0,0,0,0,0
NM_001018079,Lce3f,-,-,-,-,-,0.206 ,0.076 ,0.111 ,0.019 ,0.488 ,0,0,0,0,0,0,0,0,0
NM_028044,Cnn3,-,-,-,-,-,-0.117 ,0.207 ,-0.009 ,-0.203 ,-2.485 ,0,0,0,0,0,0,0,0,0
NM_009614,Adam15,-,-,-,-,-,-0.103 ,0.083 ,0.004 ,-0.203 ,0.524 ,0,0,0,0,0,0,0,0,0
NM_199422,S100a7a,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_170778,Dpyd,-,-,-,-,-,-0.036 ,0.106 ,0.166 ,-0.228 ,-0.134 ,0,0,0,0,0,0,0,0,0
NM_011281,Rorc,-,-,-,-,-,0.037 ,0.031 ,0.229 ,-0.183 ,-0.004 ,0,0,1,0,0,0,0,0,0
NM_009834,Ccrn4l,-,-,-,-,-,0.109 ,0.125 ,0.026 ,-0.097 ,0.530 ,0,0,0,0,1,0,0,0,0
NM_013665,Shox2,-,-,-,-,-,-0.002 ,0.177 ,-0.157 ,0.312 ,0.606 ,0,0,0,0,0,0,0,0,0
NM_011311,S100a4,-,-,-,-,-,0.338 ,0.134 ,0.510 ,0.574 ,2.868 ,0,0,0,0,0,0,0,0,0
NM_010358,Gstm1,17,155,0.146 ,0.085 ,0.206 ,-0.045 ,0.023 ,-0.185 ,0.208 ,-1.566 ,0,0,0,0,0,1,0,0,0
NM_177860,Eg329763,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001001650,Gm1019,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001081281,Trim55,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_025714,Odf2l,-,-,-,-,-,-0.049 ,0.148 ,0.069 ,-0.026 ,-1.119 ,0,0,0,0,0,0,0,0,0
NM_011469,Sprr2b,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_008596,Sypl2,-,-,-,-,-,0.285 ,0.221 ,0.081 ,-0.160 ,0.115 ,0,0,0,0,0,0,0,0,0
NM_009265,Sprr1b,-,-,-,-,-,-0.312 ,0.169 ,-0.163 ,0.053 ,0.418 ,0,0,0,0,0,0,0,0,0
NM_153422,Pde5a,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_027539,Dclk2,-,-,-,-,-,-0.080 ,0.160 ,0.013 ,0.107 ,0.417 ,0,0,0,0,1,0,0,0,0
NM_175356,Pi4kb,-,-,-,-,-,0.291 ,0.112 ,0.347 ,0.248 ,0.163 ,1,0,0,0,0,0,0,0,0
NM_145540,Ints3,14,64,-0.147 ,-0.257 ,-0.076 ,-0.142 ,0.081 ,0.037 ,-0.046 ,-0.591 ,0,0,0,0,0,0,0,0,0
NM_025356,Ube2d3,-,-,-,-,-,0.165 ,0.040 ,-0.128 ,-0.033 ,0.826 ,0,0,0,0,0,0,0,0,0
NM_027126,Hfe2,-,-,-,-,-,0.141 ,0.129 ,0.082 ,0.043 ,0.201 ,0,0,0,0,0,0,0,0,0
NM_024246,Tmem79,-,-,-,-,-,0.058 ,0.066 ,-0.235 ,-0.173 ,0.217 ,0,0,0,0,1,0,0,0,0
NM_001034168,Ank2,-,-,-,-,-,0.033 ,0.093 ,0.074 ,0.171 ,0.092 ,0,1,1,0,0,0,0,0,0
NM_175086,Agtr1b,-,-,-,-,-,0.146 ,0.070 ,0.122 ,-0.159 ,0.184 ,0,0,0,0,0,0,0,0,0
NM_019393,Exosc9,3,6,-0.382 ,-0.449 ,-0.197 ,-0.020 ,0.046 ,0.017 ,-0.034 ,-1.775 ,0,0,0,0,0,0,0,0,0
NM_146133,Golph3l,2,2,-0.640 ,-1.019 ,-0.261 ,-0.065 ,0.150 ,-0.003 ,0.144 ,0.023 ,0,0,0,0,0,0,0,0,0
NM_008293,Hsd3b1,-,-,-,-,-,-0.107 ,0.122 ,-0.138 ,0.035 ,0.470 ,0,0,0,0,0,0,0,0,0
NM_011932,Dapp1,-,-,-,-,-,0.034 ,0.105 ,-0.036 ,0.245 ,-0.579 ,0,0,1,0,0,0,0,0,0
NM_013920,Hnf4g,-,-,-,-,-,-0.171 ,0.142 ,-0.062 ,-0.170 ,0.274 ,0,0,0,0,0,1,0,0,0
NM_027500,4933434e20rik,-,-,-,-,-,-0.158 ,0.071 ,0.055 ,-0.264 ,-0.670 ,0,0,0,0,0,0,0,0,0
NM_025416,Them5,-,-,-,-,-,-0.003 ,0.036 ,0.115 ,-0.040 ,0.037 ,0,0,0,0,0,0,0,0,0
NM_023210,Anp32e,8,77,-0.060 ,-0.116 ,-0.008 ,-0.262 ,0.041 ,-0.072 ,-0.111 ,-1.509 ,0,0,0,0,0,0,0,0,0
NM_172863,Zfp697,-,-,-,-,-,0.056 ,0.180 ,-0.286 ,-0.130 ,-0.016 ,0,0,0,0,0,0,0,0,0
NM_008772,P2ry1,-,-,-,-,-,-0.028 ,0.094 ,-0.028 ,0.149 ,0.402 ,0,0,0,0,0,0,0,0,0
NM_009673,Anxa5,23,103,0.356 ,0.321 ,0.429 ,0.211 ,0.076 ,-0.243 ,0.198 ,1.382 ,0,0,0,0,1,0,0,0,0
NM_026406,Zfp364,-,-,-,-,-,-0.128 ,0.046 ,0.013 ,-0.136 ,1.080 ,0,0,0,0,0,0,0,0,0
NM_010298,Glrb,-,-,-,-,-,0.107 ,0.235 ,0.013 ,0.013 ,0.051 ,0,0,0,0,0,1,0,0,0
NM_008727,Npr1,-,-,-,-,-,-0.035 ,0.052 ,0.055 ,0.038 ,0.136 ,0,0,0,0,0,0,0,0,0
NM_008770,Cldn11,-,-,-,-,-,-0.110 ,0.051 ,-0.116 ,-0.054 ,0.140 ,0,1,0,0,0,0,0,0,0
NM_013631,Pklr,1,49,-0.132 ,-0.217 ,0.099 ,0.011 ,0.078 ,0.064 ,0.156 ,0.312 ,0,0,0,0,0,0,0,0,0
NM_175389,Rg9mtd2,-,-,-,-,-,0.324 ,0.241 ,0.358 ,0.162 ,-1.853 ,0,1,0,0,0,0,0,0,0
NM_001025613,Otud7b,-,-,-,-,-,0.148 ,0.074 ,-0.074 ,0.054 ,0.661 ,0,0,0,0,0,0,0,0,0
NM_133867,Eps8l3,-,-,-,-,-,-0.241 ,0.133 ,0.155 ,-0.081 ,0.180 ,0,0,0,0,1,0,0,0,0
NM_172677,Ythdf3,3,6,-0.226 ,-0.362 ,-0.204 ,-0.252 ,0.041 ,-0.110 ,-0.158 ,1.013 ,0,0,0,0,0,0,0,0,0
NM_001025067,Lrig2,-,-,-,-,-,-0.167 ,0.058 ,0.040 ,-0.093 ,0.251 ,0,0,0,0,0,0,0,0,0
NM_027332,Bxdc5,-,-,-,-,-,-0.016 ,0.052 ,0.197 ,0.209 ,-1.315 ,0,0,0,0,0,0,0,0,0
NM_010723,Lmo4,-,-,-,-,-,0.110 ,0.024 ,-0.009 ,0.212 ,1.297 ,0,0,0,0,0,0,0,0,0
NM_025442,Alg5,3,4,0.076 ,-0.057 ,0.090 ,0.072 ,0.118 ,0.150 ,0.130 ,-1.558 ,0,0,0,0,0,0,0,0,0
NM_026193,Ap4b1,-,-,-,-,-,0.051 ,0.038 ,-0.187 ,0.082 ,0.221 ,0,0,0,0,0,0,0,0,0
NM_013867,Bcar3,-,-,-,-,-,0.032 ,0.085 ,0.069 ,-0.013 ,1.509 ,0,0,0,0,0,0,0,0,0
NM_009250,Serpini1,-,-,-,-,-,0.015 ,0.150 ,-0.086 ,-0.238 ,-0.232 ,0,0,1,0,0,0,0,0,0
NM_146104,Aph1a,1,2,-0.712 ,-0.712 ,-0.712 ,0.065 ,0.063 ,-0.214 ,0.103 ,0.266 ,0,0,0,0,0,1,0,0,0
NM_008875,Pld1,-,-,-,-,-,0.123 ,0.054 ,-0.100 ,0.211 ,2.027 ,0,0,0,0,0,1,0,0,0
NM_001039594,Lce3a,-,-,-,-,-,-0.072 ,0.054 ,-0.024 ,-0.053 ,0.008 ,0,0,0,0,0,0,0,0,0
NM_011863,Papss1,9,23,-0.075 ,-0.194 ,0.122 ,-0.004 ,0.032 ,-0.063 ,-0.102 ,-0.986 ,0,0,0,0,0,0,0,0,0
NM_029987,Rpe65,-,-,-,-,-,-0.119 ,0.097 ,-0.074 ,-0.149 ,0.223 ,0,0,0,0,0,1,0,0,0
NM_011967,Psma5,3,14,0.020 ,-0.018 ,0.339 ,-0.165 ,0.043 ,0.009 ,-0.264 ,-1.576 ,0,0,0,0,0,0,0,0,0
NM_009323,Tbx15,-,-,-,-,-,-0.061 ,0.045 ,-0.225 ,0.065 ,0.536 ,0,0,0,0,0,0,0,0,0
NM_025679,5730470l24rik,-,-,-,-,-,-0.190 ,0.102 ,0.254 ,-0.148 ,0.547 ,0,0,0,0,0,0,0,0,0
NM_133222,Eltd1,-,-,-,-,-,-0.105 ,0.185 ,-0.010 ,0.168 ,-5.447 ,1,0,0,0,0,0,0,0,0
NM_025316,Ndufb5,6,26,-0.170 ,-0.214 ,-0.082 ,0.010 ,0.008 ,-0.004 ,0.111 ,-1.171 ,0,0,0,0,0,0,0,0,0
NM_172474,Tyw3,-,-,-,-,-,-0.156 ,0.017 ,0.253 ,0.227 ,-0.741 ,0,0,0,0,0,0,0,0,0
NM_172525,Arhgap29,-,-,-,-,-,0.006 ,0.066 ,-0.028 ,0.169 ,-0.722 ,0,0,0,0,0,0,0,0,0
NM_007910,Efna4,-,-,-,-,-,-0.072 ,0.100 ,0.138 ,-0.311 ,0.094 ,0,0,0,0,0,0,0,0,0
NM_029489,Samd7,-,-,-,-,-,-0.130 ,0.114 ,-0.003 ,0.191 ,0.292 ,0,0,1,0,0,0,0,0,1
NM_011312,S100a5,-,-,-,-,-,0.005 ,0.244 ,0.014 ,0.050 ,0.347 ,0,0,0,0,0,0,0,0,0
NM_008141,Gnat2,-,-,-,-,-,0.185 ,0.034 ,0.087 ,-0.071 ,-0.199 ,0,0,0,0,0,0,0,0,0
NM_145820,Veph1,-,-,-,-,-,0.058 ,0.130 ,0.055 ,-0.036 ,0.275 ,0,0,0,0,0,0,0,1,0
NM_027371,Bxdc5,-,-,-,-,-,-0.038 ,0.008 ,0.280 ,0.305 ,0.136 ,0,0,0,0,0,0,0,0,0
NM_009196,Slc16a1,5,54,0.233 ,0.179 ,0.431 ,0.209 ,0.045 ,0.469 ,0.713 ,-3.237 ,0,0,0,0,0,0,0,0,0
NM_011474,Sprr2h,-,-,-,-,-,0.126 ,0.115 ,0.048 ,-0.103 ,0.170 ,0,0,0,0,0,0,0,0,0
NM_029933,Bcl9,-,-,-,-,-,-0.021 ,0.053 ,-0.123 ,0.099 ,-0.385 ,0,0,0,0,0,0,0,0,0
NM_173347,Prune,5,5,0.105 ,-0.062 ,0.416 ,-0.069 ,0.029 ,-0.037 ,-0.174 ,0.729 ,0,0,0,0,0,0,0,0,0
NM_026672,Gstm7,4,31,0.141 ,0.039 ,0.192 ,0.009 ,0.074 ,-0.036 ,-0.066 ,-0.536 ,0,0,0,0,0,0,0,0,0
NM_025501,Lce3b,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0
NM_028814,2810403a07rik,-,-,-,-,-,-0.090 ,0.052 ,-0.153 ,-0.091 ,0.186 ,0,0,0,0,0,0,0,0,0
NM_198416,Zzz3,-,-,-,-,-,-0.063 ,0.011 ,0.110 ,0.143 ,-0.464 ,0,1,0,0,0,0,0,0,0
NM_030557,Mynn,-,-,-,-,-,-0.083 ,0.026 ,0.060 ,0.117 ,0.074 ,0,0,0,0,0,0,0,0,0
NM_173182,Fndc3b,-,-,-,-,-,0.074 ,0.066 ,-0.146 ,0.116 ,0.659 ,0,0,0,1,0,1,0,0,0
NM_182997,Prkab2,-,-,-,-,-,0.035 ,0.020 ,0.388 ,-0.304 ,-0.281 ,0,0,0,0,0,0,0,0,0
NM_008351,Il12a,-,-,-,-,-,0.290 ,0.143 ,-0.365 ,0.937 ,-1.868 ,0,0,0,0,0,0,0,0,0
NM_008231,Hdgf,12,71,0.065 ,-0.048 ,0.206 ,-0.047 ,0.026 ,0.093 ,-0.190 ,-1.618 ,0,0,0,0,0,0,0,0,0
NM_172864,Wdr63,-,-,-,-,-,-0.068 ,0.130 ,0.089 ,-0.015 ,0.108 ,0,0,0,0,0,1,0,0,0
NM_008053,Fxr1h,5,11,-0.097 ,-0.223 ,-0.034 ,0.086 ,0.049 ,-0.033 ,0.362 ,-0.424 ,0,0,0,0,0,0,0,0,0
NM_028937,Sohlh2,-,-,-,-,-,0.063 ,0.167 ,0.025 ,-0.084 ,-0.028 ,0,0,0,0,0,0,0,0,0
NM_001042504,Pitx2,-,-,-,-,-,0.023 ,0.105 ,-0.109 ,-0.075 ,-0.289 ,0,0,0,0,0,0,0,0,0
NM_144897,Apoa1bp,7,19,0.099 ,0.051 ,0.226 ,0.288 ,0.041 ,-0.195 ,0.162 ,-0.102 ,0,0,0,0,0,0,0,0,0
NM_011598,Fabp9,-,-,-,-,-,0.053 ,0.107 ,0.280 ,-0.174 ,0.005 ,0,0,0,0,0,0,0,0,0
NM_026831,Mybphl,-,-,-,-,-,-0.038 ,0.105 ,-0.048 ,-0.054 ,0.307 ,0,0,0,0,0,0,0,0,0
NM_025637,2510027j23rik,-,-,-,-,-,-0.040 ,0.123 ,-0.040 ,-0.066 ,0.044 ,0,0,0,0,0,0,0,0,0
NM_001004367,Cxxc4,-,-,-,-,-,0.034 ,0.005 ,-0.065 ,-0.103 ,0.238 ,1,0,0,0,0,0,0,0,0
NM_023320,Plekho1,-,-,-,-,-,0.199 ,0.150 ,-0.177 ,0.217 ,-1.366 ,0,0,0,0,0,0,0,0,0
NM_010306,Gnai3,8,91,0.087 ,-0.052 ,0.185 ,-0.163 ,0.016 ,0.034 ,-0.047 ,0.480 ,0,0,0,0,0,0,0,0,0
NM_134160,Mcoln3,1,20,0.033 ,0.007 ,0.082 ,-0.199 ,0.113 ,-0.105 ,0.074 ,0.237 ,0,0,0,0,0,0,0,0,0
NM_145133,T2bp,2,2,0.123 ,-0.094 ,0.339 ,0.107 ,0.157 ,-0.263 ,0.383 ,0.979 ,0,0,0,0,0,0,0,0,0
