Protein IDs,Protein Names,Gene Names,Protein Descriptions,Uniprot,Uniprot Name,"Peptides 
sequenced",PEP,"miR-34 
seeds","miR-34a and ca
*strand seeds","miR-34c and ac
*strand seeds","Ratio H/M 
Count
miR-34a","Ratio H/M 
Count
miR-34a
Replicate1","Ratio H/M 
Count
miR-34a
Replicate2","Ratio H/M 
Count
miR-34c","Ratio H/M 
Count
miR-34c
Replicate1","Ratio H/M 
Count
miR-34ac","Ratio H/M 
Count
miR-34ca","Ratio H/M 
Normalized
miR-34a","Ratio H/M 
Normalized
miR-34a
Replicate1","Ratio H/M 
Normalized
miR-34a
Replicate2","Ratio H/M 
Normalized
miR-34c","Ratio H/M 
Normalized
miR-34c
Replicate1","Ratio H/M 
Normalized
miR-34ac","Ratio H/M 
Normalized
miR-34ca","Log2 Ratio H/M
Normalized
miR-34a","Log2 Ratio H/M
Normalized
miR-34a
Replicate1","Log2 Ratio H/M
Normalized
miR-34a
Replicate2","Log2 Ratio H/M
Normalized
miR-34c","Log2 Ratio H/M
Normalized
miR-34c
Replicate1","Log2 Ratio H/M
Normalized
miR-34ac","Log2 Ratio H/M
Normalized
miR-34ca"
IPI:IPI00102661.2;IPI:IPI00008477.1,"Hepatocellular carcinoma-associated antigen 90;TPX2, microtubule-associated, homolog (Xenopus laevis);TPX2, microtubule-associated, homolog (Xenopus laevis), isoform CRA_a;Targeting protein for Xklp2;Restricted expression proliferation-associated protein 100;Differentially expressed in cancerous and non-cancerous lung cells 2;Protein fls353;Hepatocellular carcinoma-associated antigen 519",HCA90;TPX2;RP11-243J16.10-002;hCG_38821;C20orf1;C20orf2;DIL2;HCA519,"TPX2, microtubule-associated, homolog (Xenopus laevis), isoform CRA_a;Targeting protein for Xklp2",Q96RR5;Q9ULW0;B3KM90;Q643R0;Q96FC3,Q96RR5_HUMAN;TPX2_HUMAN,14,1.08E-69,0,0,1,7,3,2,2,3,0,0,1.4089,1.3135,1.395,1.2599,1.2959,NA,NA,-0.494569217,-0.3934162,-0.480265122,-0.33330923,-0.373954395,NA,NA
IPI:IPI00008485.1;IPI:IPI00643595.1;IPI:IPI00930318.1,Cytoplasmic aconitate hydratase;Citrate hydro-lyase;Iron-responsive element-binding protein 1;Iron regulatory protein 1;Ferritin repressor protein;Aconitase 1 variant,ACO1;IREB1;RP11-334P12.1-003,"Cytoplasmic aconitate hydratase;Aconitase 1, soluble",P21399;Q5VZA7;Q9HBB2;Q59FI0;Q5VZA6,ACOC_HUMAN;Q59FI0_HUMAN,47,0,0,0,0,48,36,48,51,8,31,48,0.94995,0.88992,0.89157,0.89428,0.91858,0.85558,0.95462,0.074076515,0.168252445,0.165580022,0.161201483,0.122522722,0.225025336,0.067001533
IPI:IPI00008511.2,NADH-ubiquinone oxidoreductase chain 5;NADH dehydrogenase subunit 5,MT-ND5;MTND5;NADH5;ND5,NADH-ubiquinone oxidoreductase chain 5,P03915;A0S2X6;A0S302;A0S468;A0S481;A0S4F9;A0S556;A0S8I1;A0S8Q9;A0S939;A0S952;A0S9B7;A0SB29;A0SBB9;A0SBH1;A0SBJ7;A0SBN6;A0SBQ0;A1DSD5;A1DSK0;A1DSU1;A1DSV4;A1DSY0;A1DT71;A1DT97;A1DTC3;A1DTD6;A1DTE9;A1DTP0;A1DTY1;A1DV00;A1DVN4;A1DVT6;A1DVU9;A1E1L3;A1Z4G6;A1Z4H9;A1Z4K5;A1Z550;A3FP67;A3R0J2;A3R0K5;A3R0L8;A3R0N1;A3R0P4;A4GYN5;A4ZHZ9;A4ZL36;A4ZL49;A4ZLA1;A4ZLB4;A4ZLC7;A4ZLE0;A4ZLL8;A4ZLT3;A4ZM22;A4ZMH6;A4ZMU3;A4ZMW9;A4ZMY2;A4ZN07;A4ZYN0;A6YTU4;A6YUU5;A6YVZ7;A6YWH7;A6YXC5;A6YZ48;A6YZQ6;A6Z0J2;A6Z1E0;A6Z477;A6Z5B5;A6Z638;A6Z7A3;A6Z7E2;A6Z901;A6Z9T7;A6ZB41;A6ZBM3;A6ZCT8;A6ZE30;A6ZF67;A6ZF93;A6ZFH1;A6ZFM3;A6ZFN6;A6ZFS5;A6ZGF9;A6ZGM1;A6ZGN4;A6ZH52;A6ZH65;A6ZH91;A6ZHU1;A6ZHZ3;A7IYY2;A7IZ50;A7LFH4;A7XSF3;A7XT63;A8JL28;A8JL93;A8JMI8;A8JMR6;A8JMW8;A8QTM8;A8RC27;A9UJI6;B0EWF8;B0Z723;B0Z7B4;B1NU71;B1W6B2;B2CB44;B2D322;B2D3J4;B2D400;B2D465;B2D4D0;B2D667;B2D6E5;B2KLX4;B2KM00;B2KMS3;B2MZA0;B2WRG3;B2WRM8;B2XEX5;B2XEY8;B2XFN4;B2XGP4;B2XH11;B2XH24;B2XH89;B2XHU6;B2XIC7;B2XIN1;B2XJ88;B2XJG6;B2XK23;B2XK88;B2XKK5;B2XKN1;B2XKZ8;B2XL11;B2XL89;B2XMC8;B2XNF1;B2XPM8;B2XPU3;B2XQI6;B2XQL2;B2Y9E6;B2YBC2;B2ZHA4;B3GTF2;B3VEC2;B4YCD8;B4YCP0;B4YFW0;B6E908;B7TCV9;B7TNG1;B7U6Z8;B7ZJ75;B8RF22;B8RFQ6;B8RFZ7;B8X540;B8X5N5;B8X5V0;B8X5X6;B8X5Y9;B8XYI9;B8XYL5;B8XYT0;B8XZ47;B8Y0K8;B8YQJ5;B9ED14;B9ED27;B9EEN6;B9EES5;B9EF68;B9EFD3;B9EFL1;B9EFN7;C6JWH2;C7AAY8;C7AB27;C7B2Y6;C7B3F5;Q06UC7;Q06UH9;Q06V50;Q0Z7K9;Q0Z7P8;Q0ZF73;Q0ZFC5;Q0ZFK3;Q0ZK24;Q14Z33;Q14ZY3;Q15GW4;Q15GZ0;Q15H42;Q15HE6;Q15HH2;Q15HL1;Q15HM4;Q15ID2;Q15II4;Q1ADK8;Q1ADM1;Q1W0U7;Q1ZY31;Q27H25;Q27H51;Q2HJQ6;Q2HKK5;Q2HKQ7;Q2L743;Q2LH26;Q2LHB7;Q2LHG9;Q2LHU9;Q305W9;Q306C1;Q3S9H4;Q4EWD7;Q4EWF0;Q4EXM9;Q4EXP2;Q4EXU5;Q4EXW4;Q4EXY9;Q4EY48;Q4EYP3;Q4EZ36;Q4EZP4;Q4EZS0;Q4EZT3;Q4F050;Q4F0F4;Q4F1S2;Q4F200;Q4F2F6;Q4F2K8;Q4F2Y8;Q4F340;Q4F3W3;Q4F454;Q4F4F8;Q4F4X2;Q4F568;Q4F5R3;Q4F5V2;Q4F5W5;Q4F5X8;Q4F604;Q4F656;Q4F669;Q4G9U5;Q4GDK8;Q4GE79;Q4GEN5;Q4GF15;Q4GFX7;Q4GG68;Q4GHG0;Q4GHL2;Q4GI18;Q4GI57;Q4GJ06;Q4GJP0;Q4GL73;Q4GLM9;Q4GMF2;Q4GMK4;Q4GNT3;Q4GQ64;Q4GSD1;Q4GTI4;Q4GUC0;Q4GUE6;Q4GUX8;Q4GVA8;Q4GVS7;Q4GVZ2;Q4GW05;Q4GW31;Q4R1L1;Q4VFA5;Q4VFC2;Q4VFD3;Q4ZFF5;Q53X30;Q53ZV6;Q541I1;Q5S8W0;Q5S938;Q5S9S2;Q5S9U8;Q5SAM1;Q5SB14;Q5XRC9;Q5XRG8;Q5XS00;Q5XT79;Q5XTD1;Q5XTE4;Q6PZ35;Q6RMF4;Q6RMK4;Q6RMM5;Q6RNJ0;Q6RNL1;Q6RPF2;Q6RQI4;Q6RRR0;Q6RS00;Q6RS27;Q6VHD5;Q6VI79;Q6VID5;Q6VIF3;Q6VIX6;Q6VIZ4;Q6VKL7;Q6WQ97;Q7GWL6;Q7GWT3;Q7GXT4;Q7GXZ2;Q7Y6H2;Q7Y6Z2;Q7Y7F0;Q7Y823;Q7YCC4;Q7YCD7;Q7YCD9;Q7YCE2;Q7YCE8;Q7YCF6;Q7YCG0;Q7YCG8;Q7YCH1;Q7YED7;Q7YEE0;Q7YEE5;Q7YEE9;Q7YEF0;Q7YEF2;Q7YEF9;Q7YEG3;Q7YEG8;Q85KR4;Q85KS1;Q85KT3;Q85KU7;Q85KW1;Q85KW4;Q85KZ0;Q8HAS6;Q8HG18;Q8HG19;Q8HG20;Q8HG21;Q8HG22;Q8HG23;Q8HG24;Q8HNR2;Q8W8U1;Q8W946;Q8WCW1;Q8WCW2;Q8WCW4;Q8WCW7;Q8WCW9;Q8WCX1;Q8WCX8;Q8WCY9;Q9B0V1;Q9B105;Q9B1F8;Q9B1M0;Q9B1R0;Q9B2U1;Q9B2V1;Q9B2V3;Q9B2V4;Q9B2W1;Q9B2X2;Q9B2Y1;Q9B2Y2;Q9B2Y4;Q9B2Z5;Q9B2Z7;Q9B2Z9;Q9B301;Q9B303,NU5M_HUMAN,2,4.29E-20,NA,NA,NA,0,0,0,2,0,1,0,NA,NA,NA,0.37598,NA,NA,NA,NA,NA,NA,1.411272174,NA,NA,NA
IPI:IPI00008527.3;IPI:IPI00939772.1,60S acidic ribosomal protein P1,RPLP1;RRP1,60S acidic ribosomal protein P1,P05386;Q6FG99;Q6ICQ4;Q7Z612,RLA1_HUMAN,7,0,0,0,0,11,2,3,11,0,28,108,0.93009,0.9743,1.0155,0.9214,NA,0.95905,0.85004,0.10455777,0.037562029,-0.02219024,0.118100497,NA,0.060322063,0.234397364
IPI:IPI00008528.4;IPI:IPI00944578.1;IPI:IPI00922837.5,ATP synthase protein 8;F-ATPase subunit 8;A6L,MT-ATP8;ATP8;ATPASE8;MTATP8,ATP synthase protein 8;ATP synthase protein 8;ATP synthase protein 8,P03928;A0S208;A0S8D6;A0S9D7;A0SBU5;A1DT13;A1DV59;A1DVF0;A3R095;A4ZL69;A6YTJ7;A6YXS5;A6YYT8;A6Z2R5;A6Z3V4;A6Z519;A6Z7K1;A8JL09;A8JMT6;B2CB77;B2MXR9;B2MZ68;B2XII6;B2XIJ9;B2XMG1;B4YC28;B4YCR0;B7TCM5;B7ZJ43;B8X5B2;B9EG24;C5MNC7;Q0Z7D7;Q0ZK82;Q305N4;Q3S924;Q3S937;Q4EWR0;Q4F0Q1;Q4F196;Q4F675;Q4GAR3;Q4GFJ0;Q4GR32;Q4GUF2;Q4VG42;Q5GND0;Q5S8S7;Q5S8W6;Q5S8Z2;Q5SAB0;Q5SAC3;Q5XTF0;Q6RKZ6;Q6RLG0;Q6RLZ4;Q6RM58;Q6RMN1;Q6RNJ6;Q7GXU0;Q7YCD6;Q7YCG7;Q7YEE7;Q7YEG9;Q85BD0;Q85KW5;Q85KZ3;Q8HNQ6;Q8W8E1;Q94P44;Q9B1A3;B2XEL6;A4ZKZ1;A4ZLL2;C7B306,ATP8_HUMAN;B2XEL6_HUMAN;A4ZKZ1_HUMAN,4,2.15E-36,NA,NA,NA,1,0,0,2,1,0,1,NA,NA,NA,0.93488,NA,NA,NA,NA,NA,NA,0.0971469,NA,NA,NA
IPI:IPI00008529.1;IPI:IPI00412779.2,60S acidic ribosomal protein P2;Renal carcinoma antigen NY-REN-44,RPLP2;D11S2243E;RPP2,60S acidic ribosomal protein P2,P05387;Q6FG96,RLA2_HUMAN,13,0,0,0,0,29,14,7,42,20,96,87,0.91407,1.0592,0.94791,0.94836,0.89308,0.95891,0.99686,0.129623443,-0.082975027,0.077178007,0.076493281,0.163138681,0.06053268,0.00453719
IPI:IPI00008530.1;IPI:IPI00791448.1;IPI:IPI00794884.1;IPI:IPI00793002.1;IPI:IPI00791188.1;IPI:IPI00871646.1;IPI:IPI00797741.1;IPI:IPI00790287.1;IPI:IPI00868999.1;IPI:IPI00798371.1;IPI:IPI00940411.1,"60S acidic ribosomal protein P0;L10E;cDNA FLJ51469, highly similar to 60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like",RPLP0,"60S acidic ribosomal protein P0;cDNA FLJ51469, highly similar to 60S acidic ribosomal protein P0;24 kDa protein;19 kDa protein;18 kDa protein;60S acidic ribosomal protein P0-like;17 kDa protein;15 kDa protein;60S acidic ribosomal protein P0",P05388;A8K4Z4;Q53HK9;Q53HW2;B4E3D5;Q3MHV2;Q8NHW5,RLA0_HUMAN;B4E3D5_HUMAN;RLA0L_HUMAN,38,0,0,0,0,92,41,30,78,52,131,228,0.9868,1.0549,1.0491,1.0428,1.0072,1.058,1.0175,0.019170379,-0.077106244,-0.069152202,-0.060462488,-0.010350188,-0.081339627,-0.025028794
IPI:IPI00008531.1;IPI:IPI00914887.1;IPI:IPI00903300.3;IPI:IPI00914919.1;IPI:IPI00164550.7;IPI:IPI00909804.1,REST corepressor 1;Protein CoREST,RCOR1;KIAA0071;RCOR,REST corepressor 1,Q9UKL0,RCOR1_HUMAN,10,7.68E-73,1,1,2,2,0,3,1,0,0,0,1.1293,NA,0.95507,NA,NA,NA,NA,-0.175428791,NA,0.066321618,NA,NA,NA,NA
IPI:IPI00008536.3,YEATS domain-containing protein 4;Glioma-amplified sequence 41;NuMA-binding protein 1,YEATS4;GAS41,YEATS domain-containing protein 4,O95619,YETS4_HUMAN,9,2.10E-28,0,0,0,4,0,0,0,1,0,0,0.96141,NA,NA,NA,NA,NA,NA,0.056776285,NA,NA,NA,NA,NA,NA
IPI:IPI00008552.6,Glutaredoxin-3;Thioredoxin-like protein 2;PKC-interacting cousin of thioredoxin;PKC-theta-interacting protein,GLRX3;PICOT;TXNL2;HUSSY-22,Glutaredoxin-3,O76003,GLRX3_HUMAN,29,0,0,0,0,38,25,7,51,3,27,67,0.90075,0.9503,0.99697,0.93677,0.75261,1.0252,1.0393,0.150801348,0.073545065,0.004378002,0.094233221,0.410025636,-0.035905384,-0.055612157
IPI:IPI00008557.5,Insulin-like growth factor 2 mRNA-binding protein 1;IGF-II mRNA-binding protein 1;Coding region determinant-binding protein;VICKZ family member 1;Zip code-binding protein 1,IGF2BP1;CRDBP;VICKZ1;ZBP1,Insulin-like growth factor 2 mRNA-binding protein 1,Q9NZI8,IF2B1_HUMAN,36,0,2,3,4,39,32,15,11,10,6,15,0.68501,0.82362,0.8783,1.4517,1.3626,1.1343,0.98537,0.545803046,0.279949231,0.187214291,-0.537743345,-0.446362112,-0.181802255,0.021262546
IPI:IPI00008569.1;IPI:IPI00927850.1;IPI:IPI00909691.1,"Synaptobrevin homolog YKT6;cDNA FLJ50174, highly similar to Homo sapiens SNARE protein Ykt6 (YKT6), mRNA",YKT6,"Synaptobrevin homolog YKT6;22 kDa protein;cDNA FLJ50174, highly similar to Homo sapiens SNARE protein Ykt6 (YKT6), mRNA",O15498;A4D2J0;B5BU81;Q9UES0;B4DR94,YKT6_HUMAN;B4DR94_HUMAN,13,2.95E-204,3,1,0,28,0,0,23,3,7,17,1.2979,NA,NA,1.2949,1.0554,1.3292,1.0118,-0.376179232,NA,NA,-0.372840689,-0.077789889,-0.410558198,-0.016924144
IPI:IPI00008570.1;IPI:IPI00744983.1;IPI:IPI00789036.1;IPI:IPI00791414.1,"KH domain-containing, RNA-binding, signal transduction-associated protein 3;Sam68-like mammalian protein 2;Sam68-like phosphotyrosine protein;RNA-binding protein T-Star",KHDRBS3;SALP;SLM2,"Isoform 1 of KH domain-containing, RNA-binding, signal transduction-associated protein 3;Isoform 2 of KH domain-containing, RNA-binding, signal transduction-associated protein 3;31 kDa protein",O75525-1;O75525;O75525-2,KHDR3_HUMAN,8,4.96E-09,0,0,0,0,2,0,3,0,0,0,NA,0.77069,NA,1.0379,NA,NA,NA,NA,0.375777423,NA,-0.053667449,NA,NA,NA
IPI:IPI00008575.3;IPI:IPI00479209.2;IPI:IPI00385834.3;IPI:IPI00082310.1;IPI:IPI00166708.2;IPI:IPI00903310.1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1;p21 Ras GTPase-activating protein-associated p62;GAP-associated tyrosine phosphoprotein p62;Src-associated in mitosis 68 kDa protein;p68;cDNA FLJ54590, highly similar to KH domain-containing, RNA-binding, signaltransduction-associated protein 1",KHDRBS1;SAM68;hCG_41606,"Isoform 1 of KH domain-containing, RNA-binding, signal transduction-associated protein 1;cDNA FLJ54590, highly similar to KH domain-containing, RNA-binding, signaltransduction-associated protein 1;Isoform 2 of KH domain-containing, RNA-binding, signal tran",Q07666-1;Q07666;B2R7B5;B4DDX2;B4E043;Q07666-2;Q07666-3,KHDR1_HUMAN;B4DDX2_HUMAN,25,0,0,0,0,31,56,25,9,25,31,35,0.97778,1.0619,0.97709,1.062,1.0282,0.88306,0.99202,0.032418199,-0.086647913,0.03343664,-0.086783766,-0.040120917,0.179416629,0.011558888
IPI:IPI00008579.3;IPI:IPI00645207.2,"Phenylalanyl-tRNA synthetase, mitochondrial;Phenylalanine--tRNA ligase",FARS2;FARS1;HSPC320,"Phenylalanyl-tRNA synthetase, mitochondrial",O95363,SYFM_HUMAN,8,1.67E-67,0,0,0,1,1,0,5,1,0,0,NA,NA,NA,1.1161,NA,NA,NA,NA,NA,NA,-0.158466295,NA,NA,NA
IPI:IPI00008599.3;IPI:IPI00643669.1;IPI:IPI00642218.1,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase;Cholestenol Delta-isomerase;Delta(8)-Delta(7) sterol isomerase;Emopamil-binding protein",EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase;18 kDa protein;17 kDa protein",Q15125;Q6FGL3,EBP_HUMAN,3,1.14E-119,0,0,0,9,0,2,6,1,15,21,1.1262,NA,1.1424,1.0775,NA,1.0274,1.1177,-0.171463056,NA,-0.192067884,-0.107687869,NA,-0.038997979,-0.160533009
IPI:IPI00008603.1;IPI:IPI00025416.3;IPI:IPI00878173.1;IPI:IPI00916212.1;IPI:IPI00927545.1;IPI:IPI00921887.1;IPI:IPI00645534.1;IPI:IPI00917820.1;IPI:IPI00917457.1;IPI:IPI00917282.1;IPI:IPI00917545.1,"Actin, aortic smooth muscle;Alpha-actin-2;Cell growth-inhibiting gene 46 protein;Actin, gamma-enteric smooth muscle;Smooth muscle gamma-actin;Gamma-2-actin;Alpha-actin-3;cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPHA SKELETAL MUSCLE;cDNA FLJ51195, highly similar to Actin, gamma-enteric smooth muscle;ACTA2 protein",ACTA2;ACTSA;ACTVS;GIG46;ACTG2;ACTA3;ACTL3;ACTSG;ACTA1;RP5-1068B5.2-002,"Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPHA SKELETAL MUSCLE;cDNA FLJ51195, highly similar to Actin, gamma-enteric smooth muscle;ACTA2 protein (Fragment)",P62736;B2R8A4;B3KPP5;B4DUI8;Q562S2;P63267;B3KW67;B3KUD3;Q5T8M7;B4E315;Q13707,ACTA_HUMAN;ACTH_HUMAN;B3KUD3_HUMAN;B4E315_HUMAN;Q13707_HUMAN,46,0,0,0,0,2,0,0,1,0,0,0,1.2079,NA,NA,NA,NA,NA,NA,-0.272501021,NA,NA,NA,NA,NA,NA
IPI:IPI00008613.4;IPI:IPI00218475.4;IPI:IPI00943264.1,Interferon-induced 35 kDa protein;IFP 35,IFI35;IFP35,Isoform 1 of Interferon-induced 35 kDa protein;Isoform 2 of Interferon-induced 35 kDa protein;32 kDa protein,P80217-1;P80217;P80217-2,IN35_HUMAN,6,4.65E-131,1,0,0,4,0,0,1,0,0,0,2.2788,NA,NA,NA,NA,NA,NA,-1.188274311,NA,NA,NA,NA,NA,NA
IPI:IPI00008616.3,Solute carrier family 12 member 7;Electroneutral potassium-chloride cotransporter 4;K-Cl cotransporter 4,SLC12A7;KCC4,Isoform 1 of Solute carrier family 12 member 7,Q9Y666-1;Q9Y666,S12A7_HUMAN,6,7.25E-88,1,0,0,8,0,0,1,1,0,0,0.71343,NA,NA,NA,NA,NA,NA,0.487156212,NA,NA,NA,NA,NA,NA
IPI:IPI00008669.4;IPI:IPI00910810.1,"Keratin-81-like protein;cDNA FLJ60029, highly similar to Keratin, type II cuticular Hb3",,"Keratin-81-like protein;cDNA FLJ60029, highly similar to Keratin, type II cuticular Hb3",A6NCN2;B4DTA1,KT81L_HUMAN;B4DTA1_HUMAN,24,2.58E-106,NA,NA,NA,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,1.0482,NA,NA,NA,NA,NA,NA,-0.067914014,NA
IPI:IPI00008708.5;IPI:IPI00642046.1,Ribosomal L1 domain-containing protein 1;Cellular senescence-inhibited gene protein;Protein PBK1;CATX-11;RSL1D1 protein,RSL1D1;CATX11;CSIG;PBK1;L12,Ribosomal L1 domain-containing protein 1;RSL1D1 protein,O76021;A0PJ87;B4DJ58;Q32Q62;A0PJ61,RL1D1_HUMAN;A0PJ61_HUMAN,41,0,1,1,0,44,55,27,23,25,31,38,0.9883,0.96848,0.97607,0.99159,0.86925,0.95746,0.946,0.016979054,0.046205839,0.034943479,0.012184373,0.202156933,0.062715878,0.080087911
IPI:IPI00008726.4,Iron-responsive element-binding protein 2;Iron regulatory protein 2,IREB2,Iron-responsive element-binding protein 2,P48200,IREB2_HUMAN,17,1.90E-186,0,0,1,11,4,2,7,0,3,4,0.80544,0.81585,1.1304,0.8753,NA,1.0957,1.0979,0.312150973,0.293624168,-0.176833371,0.192150524,NA,-0.131852846,-0.134746655
IPI:IPI00008728.1,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",CLPX,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",O76031;B9EGI8;Q9H072,CLPX_HUMAN,25,0,0,0,0,39,17,10,12,6,4,13,0.89923,0.91597,0.84356,1.0063,0.94905,0.79893,0.97231,0.153237928,0.126627747,0.245437408,-0.009060468,0.075443998,0.323858991,0.040511736
IPI:IPI00852851.1;IPI:IPI00008732.1;IPI:IPI00748784.2,TraB domain-containing protein,TRABD;PP2447,43 kDa protein;Isoform 1 of TraB domain-containing protein;Isoform 2 of TraB domain-containing protein,Q9H4I3-1;Q9H4I3;Q19CC5;Q6XYC5;Q9H4I3-2,TRABD_HUMAN,15,7.50E-195,0,0,0,6,1,0,15,1,1,2,0.88294,NA,NA,0.70694,NA,NA,0.93627,0.179612692,NA,NA,0.50034032,NA,NA,0.095003463
IPI:IPI00008770.1;IPI:IPI00470739.4;IPI:IPI00619967.1;IPI:IPI00644555.1;IPI:IPI00942091.1,Glutathione S-transferase Mu 4;GSTM4-4;GST class-mu 4;GTS-Mu2;GSTM4_SV5,GSTM4,Isoform 1 of Glutathione S-transferase Mu 4;Isoform 2 of Glutathione S-transferase Mu 4;GSTM4_SV5,Q03013-1;Q03013;A8K765;Q03013-2;Q4JNT8,GSTM4_HUMAN;Q4JNT8_HUMAN,17,2.59E-256,0,0,0,1,0,0,0,1,2,3,NA,NA,NA,NA,NA,0.76805,1.4398,NA,NA,NA,NA,NA,0.380727862,-0.525868423
IPI:IPI00008791.1;IPI:IPI00908614.1,"Protein CIAO1;WD repeat-containing protein 39;cDNA FLJ51287, highly similar to WD repeat protein 39",CIAO1;WDR39,"Probable cytosolic iron-sulfur protein assembly protein CIAO1;cDNA FLJ51287, highly similar to WD repeat protein 39",O76071;B2RDJ6;B4DRZ6,CIAO1_HUMAN;B4DRZ6_HUMAN,14,1.11E-104,1,0,1,4,8,3,6,2,2,3,0.97783,0.87295,0.83246,1.1241,1.1671,0.84241,0.82478,0.032344427,0.196029072,0.264547143,-0.168770384,-0.22292818,0.247405533,0.277918746
IPI:IPI00008868.3,Microtubule-associated protein 1B;MAP1 light chain LC1,MAP1B,Microtubule-associated protein 1B,P46821;A2BDK6;A5D6X1;A5D8X6;Q05BW8;Q32NB7;Q4VBY4;Q5H9P1;Q6PJD3;Q86X89,MAP1B_HUMAN,95,0,0,0,2,101,15,24,140,20,12,22,1.0358,0.92424,1.0508,1.1057,0.8964,0.83663,1.0456,-0.050745464,0.113660566,-0.071488106,-0.144960005,0.157785446,0.257338364,-0.064331046
IPI:IPI00008943.3;IPI:IPI00939593.1;IPI:IPI00027599.6;IPI:IPI00556368.1;IPI:IPI00556256.1,"ATP-dependent RNA helicase DDX19B;DEAD box protein 19B;DEAD box RNA helicase DEAD5;cDNA FLJ52357, highly similar to ATP-dependent RNA helicase DDX19B (EC 3.6.1.-);cDNA FLJ50567, highly similar to ATP-dependent RNA helicase DDX19B (EC 3.6.1.-);HCG1998531, isoform CRA_d;DDX19-like protein variant",DDX19B;DBP5;DDX19;hCG_1998531,"Isoform 1 of ATP-dependent RNA helicase DDX19B;Isoform 2 of ATP-dependent RNA helicase DDX19B;cDNA FLJ52357, highly similar to ATP-dependent RNA helicase DDX19B;DEAD (Asp-Glu-Ala-As) box polypeptide 19 isoform 3;DDX19-like protein variant (Fragment)",Q9UMR2-1;Q9UMR2;B3KNE9;Q2NL95;Q53G16;Q7Z4W5;Q9HBZ9;Q9UMR2-2;B4DXS6;B4DL69;Q96KE7;Q59FQ9,DD19B_HUMAN;B4DXS6_HUMAN;B4DL69_HUMAN;Q59FQ9_HUMAN,29,0,1,0,0,0,2,0,0,0,0,0,NA,0.69515,NA,NA,NA,NA,NA,NA,0.524603778,NA,NA,NA,NA,NA
IPI:IPI00008961.1,Telomeric repeat-binding factor 2-interacting protein 1;TRF2-interacting telomeric protein Rap1,TERF2IP;RAP1;PP8000,Telomeric repeat-binding factor 2-interacting protein 1,Q9NYB0;B4DQN4;Q4W4Y2,TE2IP_HUMAN,7,2.76E-53,0,0,0,6,0,0,1,0,0,0,0.75649,NA,NA,NA,NA,NA,NA,0.402607083,NA,NA,NA,NA,NA,NA
IPI:IPI00008964.3;IPI:IPI00896425.1;IPI:IPI00374519.3;IPI:IPI00022134.1,Ras-related protein Rab-1B;RAB1B protein;Putative Ras-related protein Rab-1C,RAB1B;RAB1C,Ras-related protein Rab-1B;RAB1B protein;Putative Ras-related protein Rab-1C,Q9H0U4;A8K7S1;Q92927;Q6FIG4;Q92928,RAB1B_HUMAN;Q6FIG4_HUMAN;RAB1C_HUMAN,24,0,2,0,0,20,0,5,14,18,26,37,1.0187,NA,0.86616,0.97994,1.0517,0.94426,0.93435,-0.02672925,NA,0.207294546,0.029234677,-0.072723231,0.082743938,0.097965022
IPI:IPI00008982.1;IPI:IPI00218547.1,Delta-1-pyrroline-5-carboxylate synthetase;Aldehyde dehydrogenase family 18 member A1;Glutamate 5-kinase;Gamma-glutamyl kinase;Gamma-glutamyl phosphate reductase;Glutamate-5-semialdehyde dehydrogenase;Glutamyl-gamma-semialdehyde dehydrogenase,ALDH18A1;GSAS;P5CS;PYCS,Isoform Long of Delta-1-pyrroline-5-carboxylate synthetase;Isoform Short of Delta-1-pyrroline-5-carboxylate synthetase,P54886-1;P54886;P54886-2,P5CS_HUMAN,51,0,0,0,1,103,58,28,41,21,50,105,0.9031,0.88503,0.89895,1.2027,0.9247,0.93243,0.92848,0.147042349,0.176201736,0.15368722,-0.266276823,0.112942706,0.100932672,0.107057261
IPI:IPI00008986.1;IPI:IPI00643866.2;IPI:IPI00549477.1;IPI:IPI00910358.1,Large neutral amino acids transporter small subunit 1;L-type amino acid transporter 1;Solute carrier family 7 member 5;y+ system cationic amino acid transporter;4F2 light chain;CD98 light chain;Integral membrane protein E16;Sodium-independent neutral amino acid transporter LAT1,SLC7A5;CD98LC;LAT1;MPE16;lat1,Large neutral amino acids transporter small subunit 1;Sodium-independent neutral amino acid transporter LAT1,Q01650;Q2MCL6;Q8IV97;Q96QB2,LAT1_HUMAN;Q96QB2_HUMAN,12,0,0,1,0,48,30,14,38,14,23,28,1.2154,1.217,1.247,0.89363,0.89586,1.0491,1.014,-0.281431197,-0.283329168,-0.318461465,0.162250476,0.158654801,-0.069152202,-0.020057652
